OTU ID	S31	S1	S42	S13_T2	S30	S50	S43	S20	S29	S47U	S26	S13_T3	S33	S8L	S23	S10R	S49	S14L	S11	S8R	S22	S38U	S47I	S37	S19	S24	S13_T1	S46	S14R	S3	S27	S44	S10L	S28	S10	S39	S9	S25	S5	S45	S48	S16	S6	S18	S12	S2	S36	S34	S17	S4	S15	S40	S38I	S32	S41	S7	S35	S21	taxonomy
60	1	7	48	37	1	4	36	6	2	3	0	7	1	660	302	7	36	0	2	1104	1	55	0	0	268	6	0	60	1	10	13	0	4	33	48	32	69	4	482	0	56	7	7	0	2	9	11	36	1	913	10	1	3	11	45	5	54	4	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;|82
62	0	2	16	16	0	0	0	2	1	21	0	8	0	79	13	36	29	0	1	77	0	0	5	0	1	18	0	3241	0	0	2	21	0	0	1	3	2	0	28	0	0	49	0	1	0	0	49	0	0	13	0	4	0	4	17	1	5	0	Bacteria;Proteobacteria;Gammaproteobacteria;unclassified;unclassified;unclassified;|100
63	2	0	0	4	0	0	0	2	0	1	158	0	2	0	0	12	0	211	0	6	0	1	7	5	0	2	0	3	10	0	0	0	2	0	0	0	15	10	1	0	2	0	3029	0	0	12	4	0	3	13	0	4	41	0	0	10	338	0	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;|71
64	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	3331	0	0	0	0	3	7	0	0	0	0	8	0	0	0	19	0	0	0	1	19	0	0	6	0	19	0	9	0	0	0	12	0	6	0	20	0	1	17	0	0	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum;|99
65	3	5	8	0	0	0	4	2	0	0	0	0	0	0	1	12	0	0	9	6	0	0	1	0	10	0	0	0	0	1	0	0	9	0	1	0	3572	0	30	0	0	0	8	0	0	10	0	0	0	2	0	0	0	18	0	0	0	0	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;unclassified;|85
66	1	0	0	5	17	8	0	21	0	0	9	0	0	14	0	0	20	0	0	31	12	12	0	0	0	6	0	0	0	1	30	0	0	2856	1	34	0	0	0	0	0	26	0	0	0	0	0	0	9	0	15	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;unclassified;unclassified;unclassified;|74
67	3	0	0	58	4	0	0	0	3	167	5	2	4	1	2	16	0	1	0	2	0	2	1	5	0	1	2	2	0	0	0	1	1	0	1	3	12	7	1	1	2	0	1748	3	49	9	1	6	1	4	0	229	10	1	596	4	268	0	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;|80
68	0	45	5	6	0	2	13	0	4	5	0	6	3	25	410	36	6	1	11	9	1	3	23	2	3	2	7	5	2	4	5	537	0	0	1	35	55	5	4	3	1	1189	513	6	83	4	3	4	2	6	23	1	21	2	1	3	131	3	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;|100
70	17	0	30	6	4	3	0	50	7	30	193	5	543	6	537	1	4	1	2	14	180	70	1	31	4	23	5	9	2	1	14	4	0	82	1	880	3	4	38	4	0	9	4	1	68	107	18	46	0	10	3	4	69	21	5	64	49	10	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella;|99
71	2	0	41	1	7	0	0	0	21	0	0	1	0	0	0	11	0	386	0	4	0	0	2	0	1	0	0	0	0	0	0	2	2	0	8	8	0	2	0	0	0	0	1	5	2	0	4	10	9	0	3	4	11	11	2376	4	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Peptoniphilus;|99
72	1	1	12	56	131	10	0	5	25	10	32	6	31	16	1091	161	7	3	59	574	34	11	2	33	9	5	117	458	45	2	8	4	25	18	1	97	259	7	96	0	19	30	254	1	64	183	35	6	15	113	45	25	16	10	31	63	30	8	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;unclassified;|76
